Source,picture,Catalog#,Lizard_ID,Species,Sex,Status,Collection_Date,collector,Locality,Collection_Notes,Dissection_Notes,Country,Latitude,Longitude,State,elevation,County,spatial_accuracy,Study,georef_verif,SVL,insert_elbow,Tail,elbow_wrist,Tail Diam,wrist_3rd,HL,trunk,HW,Tail Circum,HL_ear_rostral,Mass_grams
ASU,ASU194.JPG,194,ASU194,suspectum,M,,12/28/1953,H.H. ROWLEYS,ROOSEVELT LAKE,IN CHURN,,USA,33.6637821,-111.1219024,Arizona,673,Gila,20,,Yes,314,20.9,0,22.9,29.3,29.6,54.5,178,46.7,,61.9,
ASU,ASU196.JPG,196,ASU196,suspectum,F,,4/29/1953,R. PRESTON,BETWEEN FLORENCE AND QUEEN CREEK,IN CHURN,,USA,33.1553734,-111.5180969,Arizona,461,Maricopa,20,,Yes,314,17.9,145,21.8,22.1,29.9,52.2,188,41.8,,56.3,
ASU,ASU197.JPG,197,ASU197,suspectum,M,,8/7/1955,,SCOTTSDALE,IN CHURN,testes barely visible,USA,33.5791588,-111.8998718,Arizona,417,Maricopa,10,,Yes,133,8.3,58,9.8,10.6,14.5,23.7,75,20.8,,25.6,
ASU,ASU706.JPG,706,ASU706,suspectum,F,,4/17/1956,,"CAMELBACK MT., SCOTTSDALE",IN CHURN,"lt ovid = 11.4, 10.1, 3peas; rt ovid = 6.3, 9.0, 11.8, and 2 peas",USA,33.51444,-111.96111,Arizona,767,Maricopa,5,,Yes,279,18.1,129,23.2,24.1,29.7,46.3,175,40,,51,
ASU,ASU908.JPG,908,ASU908,suspectum,M,,4/5/1955,,BUCKEYE,IN CHURN,hemipenes everted,USA,33.5917432,-112.6895141,Arizona,435,Maricopa,10,,Yes,283,19.4,158,25.8,29.3,29.5,49.6,163,45.7,,53,
ASU,ASU910.JPG,910,ASU910,suspectum,F,,8/26/1955,,CASA GRANDE,IN CHURN,"3 full term eggs (pics), 36.8, 34.9, 33.2 ",USA,32.879047,-111.756534,Arizona,424,Pinal,5,,Yes,311,19.8,135,29.6,29,32.4,50.6,187,47.2,,56.9,
ASU,ASU911.JPG,911,ASU911,suspectum,M,,9/11/1955,,SAGUARO LAKE,IN CHURN,"hemipene everted; rt teste = 10.0, lt teste = 8.8",USA,33.5677169,-111.5407562,Arizona,551,Maricopa,10,,Yes,296,20.6,145,24,27.5,28.9,47.9,170,47.7,,56.3,
ASU,ASU912.JPG,912,ASU912,suspectum,F,,11/2/1955,W. MCLARSINGH,CHANDLER,IN CHURN,oviducts,USA,33.3054251,-111.8415069,Arizona,368,Maricopa,10,,Yes,291,21.3,133,25.5,26.7,29.2,41.5,173,42.7,,49.3,
ASU,ASU918.JPG,918,ASU918,suspectum,F,,6/22/1955,,CHRISTMAS,"IN CHURN (CMG; no Christmas in Pinal County, only in Gila County, just over border)",both oviducts empty,USA,33.06222,-110.74194,Arizona,799,Gila,5,,Yes,277,16.5,137,23.2,26.2,28.7,45.5,160,42.4,,52.9,
ASU,ASU919.JPG,919,ASU919,suspectum,M,,4/5/1955,,SUNFLOWER,IN CHURN,"lt teste = 18.8, rt teste = 22.3",USA,33.86417,-111.46694,Arizona,1040,Maricopa,10,,Yes,265,16.1,125,20.8,28.7,29.7,44,155,43,,51.3,
ASU,ASU920.JPG,920,ASU920,suspectum,M,,5/6/1955,,FLORENCE,IN CHURN,hemipene everted,USA,33.0374494,-111.3793945,Arizona,451,Maricopa,10,,Yes,310,22.9,158,30.8,32.6,35.1,48.4,181,52,,60.3,
ASU,ASU921.JPG,921,ASU921,suspectum,M,,4/5/1955,,BUCKEYE,IN CHURN,hemipene everted,USA,33.5917432,-112.6895141,Arizona,435,Maricopa,10,,Yes,300,17.5,140,23.1,22.7,29.8,49.6,178,46.4,,55.2,
ASU,ASU922.JPG,922,ASU922,suspectum,F,,6/13/1955,,WICKENBURG,IN CHURN,"lt ovid = 22.7, 22.6; rt ovid = 23.0",USA,33.9615862,-112.7636718,Arizona,684,Maricopa,10,,Yes,306,18.2,151,22.3,32.4,31.7,48.5,180,46.6,,56.7,
ASU,ASU923.JPG,923,ASU923,suspectum,F,,4/30/1955,,SW OF BARTLETT DAM,IN CHURN,"lt ovid = 28.2, 25.9; rt ovid = 32.2, 29.7, 32.7, 29.7 (huge eggs)",USA,33.7968381,-111.6389465,Arizona,654,Maricopa,5,,Yes,310,18.6,154,23.6,29.7,27.7,50.5,190,48.6,,56.3,
ASU,ASU924.JPG,924,ASU924,suspectum,M,,5/13/1955,,S. SECTION OF SUPERIOR,IN CHURN,hemipene everted,USA,33.2780186,-111.1069679,Arizona,833,Pinal,5,,Yes,288,18.3,140,23.6,26.9,31.4,48.7,167,51.2,,55.1,
ASU,ASU925.JPG,925,ASU925,suspectum,M,,5/16/1955,,CAVE CREEK,IN CHURN,everted hemipene,USA,33.8002617,-111.9630432,Arizona,620,Maricopa,10,,Yes,300,19.8,0,25.7,28.5,29.8,47.9,175,48.3,,55.2,
ASU,ASU1348.JPG,1348,ASU1348,suspectum,F,,4/8/1957,MR. WILLSON,43 AVE BETWEEN PEORIA AND NORTHERN AVE PHX,ASU-57-300; DOR,empty oviducts on both sides,USA,33.5672878,-112.1518707,Arizona,369,Maricopa,1,,Yes,300,18.7,135,22.4,17.8,29.7,46.4,190,39.8,,52.3,
ASU,ASU1970.JPG,1970,ASU1970,suspectum,M,,4/7/1957,L. MCCUTES,CASA GRANDE,ASU-58-333,small testes,USA,32.8792988,-111.7240905,Arizona,430,Maricopa,10,,Yes,303,18.6,145,24.3,23.7,28.3,50.9,170,44.1,,57.6,
ASU,ASU1971.JPG,1971,ASU1971,suspectum,F,,4/1/1953,MCCLURE,NEW RIVER,ASU-58-334,"lt ovid = 26.8, rt ovid = 22.5, 23.1",USA,33.91583,-112.13528,Arizona,613,Maricopa,10,,Yes,307,16.8,139,19.6,27.7,26.6,47.7,182,45.2,,53.9,
ASU,ASU2002.JPG,2002,ASU2002,suspectum,M,,4/26/1953,D.O. JARVIS,QUEEN CREEK,ASU-58-365,"lt teste = 9.5, rt teste = 6.6",USA,33.2484501,-111.6344833,Arizona,428,Maricopa,10,,Yes,241,14.5,0,19.8,17.5,24.6,41.1,142,37,,46.9,
ASU,ASU2003.JPG,2003,ASU2003,suspectum,M,,4/24/1953,J.A. WELLMAN,CASA GRANDE,ASU-58-366,testes,USA,32.879047,-111.756534,Arizona,424,Pinal,5,,Yes,287,19,145,24.1,26.9,28.6,47.6,166,45.9,,54.5,
ASU,ASU2004.JPG,2004,ASU2004,suspectum,F,,4/27/1953,C.B. INNSKEEP,GILBERT,ASU-58-367,empty oviducts,USA,33.3496017,-111.7558479,Arizona,383,Maricopa,15,,Yes,280,13.4,128,22.9,25,28.1,46,162,42.2,,54.7,
ASU,ASU2005.JPG,2005,ASU2005,suspectum,F,,4/17/1953,H.J. PETERS,CASA GRANDE,ASU-58-368,oviducts empty,USA,32.879047,-111.756534,Arizona,424,Pinal,5,,Yes,270,18.9,122,21,28.7,28.7,41.5,162,40.3,,49.9,
ASU,ASU2376.JPG,2376,ASU2376,suspectum,M,,8/26/1958,J.W. GIBBONS,SCOTTSDALE,ASU-59-150  (DIED 22-Apr-59),"lt teste = 4.9, rt teste = 3.8",USA,33.5791588,-111.8998718,Arizona,417,Maricopa,10,,Yes,170,10.2,78,13.2,8.9,18.8,30.9,100,23.9,,33.7,
ASU,ASU2546.JPG,2546,ASU2546,suspectum,M,,6/24/1959,A.E. DAMMANN,10.5 MI N. HQ ORGAN PIPE NATL MON.,ASU-59-320,good trunk measurement. Testes visible.,USA,32.0866469,-112.7774047,Arizona,597,Pima,10,,Yes,231,14.1,113,17.2,15.4,23.9,39.8,145,34.1,,44.5,
ASU,ASU2910.JPG,2910,ASU2910,suspectum,F,,1960-Mar,L. EVANS,SCOTTSDALE RD 1 MI S. BLACK MT. RD.,ASU-60-131,"bullet hole in head (.22) lt ovid = 3 peas, rt ovid = 0",USA,33.7985499,-111.9283676,Arizona,689,Maricopa,5,,Yes,297,21.9,130,26.9,24.4,31.9,50.2,181,45.3,,56.9,
ASU,ASU3007.JPG,3007,ASU3007,suspectum,unk,,4/23/1960,L. MISCHLISPY,SOUTH PHOENIX,REC'D FROM D. LINDNER;  ASU 60-0228,guts removed,USA,33.3947592,-112.0729064,Arizona,331,Maricopa,20,,Yes,272,16.8,135,23,25.1,28.8,45.2,150,44,,53.4,
ASU,ASU3008.JPG,3008,ASU3008,suspectum,unk,,4/23/1960,L. EVANS,SIERRA ESTRELLA,ASU 60-0229,guts removed,USA,33.21408,-112.238,Arizona,716,Maricopa,20,,Yes,284,16.7,135,23.3,20.1,27.6,44.2,167,39.2,,51.1,
ASU,ASU3090.JPG,3090,ASU3090,suspectum,M,,6/12/1960,B. GARDNER,GLOBE,ASU 60-0311,"lt = 4.8, rt = 4.6",USA,33.3831495,-110.755577,Arizona,1155,Gila,10,,Yes,123,8.8,50,12.1,7.8,14.7,24,69,17.3,,25.4,
ASU,ASU3312.JPG,3312,ASU3312,suspectum,M,,6/30/1961,A.E. DAMMAN,ORGAN PIPE NATL. MON.,ASU 61-0085,,USA,32.0290348,-112.8652954,Arizona,547,Pima,20,,Yes,139,9.9,65,13.5,9.9,16.5,27.9,80,21,,29.4,
ASU,ASU3676.JPG,3676,ASU3676,suspectum,F,,3/20/1958,J.W. HEINRICH,PAYSON HWY NEAR VERDE RIVER,ASU 61-0449,"lt ovid = 3bb's, rt ovid = 2bb's",USA,33.5797309,-111.6691589,Arizona,415,Maricopa,15,,Yes,250,17.6,127,21.4,19.5,28.2,39.5,157,36.2,,47.9,
ASU,ASU5734.JPG,5734,ASU5734,suspectum,M,,7/17/1963,DR. J MOSSIMAN,3/4 MI. PAST WESTWARD ESTATES TOWARD TUCSON,ASU 65-0129,small testes,USA,32.221743,-110.926479,Arizona,,Pima,20,,Yes,250,18.9,129,23.1,17.3,25.8,44.6,150,40.1,,50.1,
ASU,ASU11276.JPG,11276,ASU11276,suspectum,M,,5/21/1967,R. DYER,.25 IM. OUTSIDE S. MT. PARK ENTRANCE N. SIDE,,barely visible testes,USA,33.3564844,-112.0662117,Arizona,400,Maricopa,5,,Yes,122,8.5,54,9.2,10.8,14.9,23.1,69,20.3,,25.3,
ASU,ASU13564.JPG,13564,ASU13564,suspectum,unk,,5/8/1968,HULSE,2.5 MI. E. OF SCOTTSDALE RD ON SHEA BLVD,ACH-68-45,guts mangled,USA,33.5825911,-111.8737792,Arizona,424,Maricopa,5,,Yes,114,9.2,54,10.1,7.9,14.6,23.4,60,19.9,,26.2,
ASU,ASU16395.JPG,16395,ASU16395,suspectum,M,,"""Apr-May"" 76",R. LUCAS,"APACHE TRAIL, 2 MI. SW ROOSEVELT DAM",,hemipene everted; head scars,USA,33.6434915,-111.1946868,Arizona,626,Maricopa,10,,Yes,280,14.7,130,20.7,24.7,29.9,47.1,179,48.1,,58.2,
ASU,ASU17599.JPG,17599,ASU17599,suspectum,unk,,1978-May,J. JOHNSON,APPROX. 10 MI. S. GILA BEND,,no visible sex organs,USA,32.8011275,-112.7993774,Arizona,294,Pima,10,,Yes,111,8.2,50,9.9,8,14.2,23.2,65,18,,24.2,
ASU,ASU22855.JPG,22855,ASU22855,suspectum,F,,4/26/1982,B.K. SULLIVAN,"RT 387, .5 KM NE JCT W/ RT 187 & I-10  (SACATON MTS)","DOR, 9:00 PM; WARM AND CLEAR (BKS# 92)",100 bb sized follicles in lt. ovid.,USA,33.0023293,-111.7419433,Arizona,486,Pinal,1,,Yes,276,17.9,0,22.9,18.1,27.5,48.8,152,46.3,,52.5,
ASU,ASU22856.JPG,22856,ASU22856,suspectum,F,,5/1/1982,B.K. SULLIVAN,1.5 KM W OF BARTLETT RESERVOIR ON DIRT RD TO CARE FREE ,"DOR, 9:30 PM; FRESH (BKS# 93)","scars on head. Lt ovid = 2@14.9, rt ovid = 16.4, 14.9",USA,33.8458967,-111.6487312,Arizona,634,Maricopa,1,,Yes,295,19,114,24.9,26.5,27.4,46.2,178,45.2,,54.1,
ASU,ASU23189.JPG,23189,ASU23189,suspectum,M,,5/4/1984,BUCKLIN,~10 MI E OF PUMPKIN CENTER ON FOREST SERVICE RD TO GREENBANK VALLEY,"TOES APPEARED TO BE CLIPPED, SV=340, V-T=150,  624G, DOR","rt teste = 17.0, lt teste = absent; scars of head",USA,33.88686,-111.16531,Arizona,,Gila,10,,Yes,322,23.7,155,27.3,29.5,32.2,55.8,195,55.7,,60.4,624
ASU,ASU24160.JPG,24160,ASU24160,suspectum,F,,5/17/1972,J. WIGSS,"5 MI N OF I-40 ON CITRUS VALLEY RD, REGION 4 (CMG;I-8 not 40)",,small oviducts,USA,32.9997379,-112.8048706,Arizona,186,Maricopa,20,,Yes,240,18.1,124,21.1,21.3,28.1,44.2,135,40.9,,46.6,
ASU,ASU24301.JPG,24301,ASU24301,suspectum,M,,7/11/1977,J.D. JENKINS,"ON US 80, 89 (Pinal Pioneer Parkway), 12.2 MI N OF JCT W/ AZ 77","JDJ 018, 2145HR, AIR 28.2°C, DOR (CMG; this locality doesn’t exist)",one small teste,USA,32.69117,-111.07871,Arizona,,Pinal,5,,Yes,128,9.2,59,10.8,7.6,16.4,25.7,72,19.6,,26.8,
